number,value,datetime_start,datetime_complete,duration,params_activation_1,params_activation_2,params_activation_3,params_dense_dropout_0,params_dense_dropout_1,params_dense_layers,params_dense_units_0,params_dense_units_1,params_dropout_1,params_dropout_2,params_dropout_3,params_epochs,params_learning_rate,params_loss,params_optimizer,params_patience,params_return_sequences,params_units_1,params_units_2,params_units_3,params_use_attention,params_use_third_layer,params_weight_decay,state
0,0.003556607523933053,2025-02-26 03:37:13.639701,2025-02-26 03:38:04.579938,0 days 00:00:50.940237,selu,relu,tanh,0.3612105111470232,,1,64.0,,0.13205644193555374,0.21668062539416946,0.17829486481994936,36,6.265053895554535e-05,huber,adamw,9,True,192,128,32.0,True,True,2.3414675348602595e-06,COMPLETE
1,0.02755429409444332,2025-02-26 03:38:04.581463,2025-02-26 03:38:18.742531,0 days 00:00:14.161068,selu,tanh,,0.25322308628403434,0.39271273280016505,2,64.0,128.0,0.4329766332829268,0.13312738997357285,,16,0.00040087613971810014,mean_absolute_error,adamw,7,False,320,192,,False,False,7.639738438061869e-05,COMPLETE
2,0.0015608257381245494,2025-02-26 03:38:18.743859,2025-02-26 03:38:37.910938,0 days 00:00:19.167079,tanh,selu,,0.21964835940590882,0.22256641254401005,2,32.0,128.0,0.13365396970319063,0.18283513463052,,16,0.0005217100269404513,huber,rmsprop,5,False,320,256,,False,True,,COMPLETE
3,0.033794015645980835,2025-02-26 03:38:37.912411,2025-02-26 03:39:00.800438,0 days 00:00:22.888027,selu,relu,,0.29652862370287875,,1,32.0,,0.34843474468414415,0.40049646465587474,,46,0.011512791480011214,mean_squared_error,rmsprop,5,True,192,256,,True,False,,COMPLETE
4,,2025-02-26 03:39:00.801778,2025-02-26 03:39:20.615703,0 days 00:00:19.813925,selu,selu,,0.2504795176715755,0.139841872685149,2,32.0,32.0,0.3008101775975418,0.21517552576561114,,17,0.019463671890694804,mean_absolute_error,rmsprop,3,True,128,64,,False,False,,FAIL
5,0.0002138060808647424,2025-02-26 03:39:20.617232,2025-02-26 03:39:24.662997,0 days 00:00:04.045765,tanh,tanh,,0.17205237933076734,,1,64.0,,0.14480930642770592,0.37271320173472444,,50,0.0010307338711828499,mean_squared_error,adam,4,False,64,192,,False,True,,COMPLETE
6,0.026645492762327194,2025-02-26 03:39:24.664245,2025-02-26 03:40:00.055901,0 days 00:00:35.391656,relu,tanh,,,,0,,,0.49777823446698366,0.5266849385917882,,41,0.003341116095750228,mean_absolute_error,rmsprop,10,True,128,128,,False,False,,COMPLETE
7,0.032034456729888916,2025-02-26 03:40:00.057390,2025-02-26 03:40:19.820087,0 days 00:00:19.762697,selu,relu,,0.2097744462102184,0.18569973309563859,2,128.0,32.0,0.15078980576439602,0.5524120643179742,,39,0.011470695688488703,mean_squared_error,rmsprop,7,False,128,256,,True,False,,COMPLETE
8,0.008097615092992783,2025-02-26 03:40:19.821347,2025-02-26 03:40:37.782898,0 days 00:00:17.961551,relu,tanh,relu,0.23930121522123182,0.15923006946970675,2,16.0,64.0,0.44602406025052654,0.4125763497295637,0.3389165047075521,37,0.003821971768354269,mean_squared_error,rmsprop,6,True,256,192,96.0,False,True,,COMPLETE
9,0.004150461405515671,2025-02-26 03:40:37.784235,2025-02-26 03:40:44.722787,0 days 00:00:06.938552,tanh,tanh,tanh,,,0,,,0.20082292667833798,0.13271342275206768,0.24293162898349882,45,0.04497720948589633,mean_squared_error,rmsprop,9,True,320,64,96.0,True,True,,COMPLETE
